t,spikes
457,6639
458,117
459,5671
460,6599
461,120
462,5672
463,6607
464,114
465,5674
466,6651
467,87
468,5657
469,6613
470,122
471,5683
472,6582
473,135
474,5699
475,6603
476,109
477,5660
478,6621
479,111
480,5676
481,6568
482,144
483,5677
484,6622
485,111
486,5636
487,6636
488,140
489,5635
490,6619
491,132
492,5670
493,6619
494,125
495,5639
496,6639
497,129
498,5633
499,6583
500,180
501,5656
502,6621
503,117
504,5650
505,6655
506,111
507,5628
508,6631
509,129
510,5650
511,6615
512,140
513,5631
514,6643
515,136
516,5619
517,6664
518,114
519,5616
520,6672
521,106
522,5636
523,6575
524,161
525,5657
526,6621
527,112
528,5636
529,6685
530,101
531,5621
532,6632
533,130
534,5641
535,6682
536,89
537,5618
538,6644
539,123
540,5644
541,6620
542,143
543,5617
544,6640
545,129
546,5642
547,6618
548,119
549,5653
550,6653
551,96
552,5619
553,6705
554,96
555,5593
556,6689
557,107
558,5623
559,6613
560,160
561,5624
562,6670
563,84
564,5644
565,6651
566,106
567,5625
568,6679
569,106
570,5605
571,6636
572,151
573,5643
574,6633
575,125
576,5618
577,6692
578,98
579,5624
580,6671
581,95
582,5638
583,6596
584,165
585,5638
586,6658
587,108
588,5595
589,6697
590,92
591,5620
592,6648
593,124
594,5617
595,6650
596,135
597,5611
598,6629
599,150
600,5629
601,6601
602,156
603,5632
604,6658
605,122
606,5594
607,6671
608,131
609,5613
610,6634
611,141
612,5615
613,6682
614,96
615,5624
616,6614
617,136
618,5671
619,6507
620,190
621,5672
622,6606
623,121
624,5633
625,6689
626,103
627,5580
628,6656
629,148
630,5628
631,6602
632,140
633,5654
634,6662
635,89
636,5612
637,6689
638,102
639,5619
640,6668
641,102
642,5634
643,6687
644,90
645,5618
646,6666
647,134
648,5598
649,6649
650,147
651,5603
652,6640
653,151
654,5619
655,6618
656,140
657,5656
658,6612
659,97
660,5668
661,6635
662,104
663,5627
664,6678
665,112
666,5623
667,6569
668,192
669,5656
670,6557
671,163
672,5657
673,6619
674,118
675,5644
676,6668
677,93
678,5620
679,6679
680,109
681,5594
682,6667
683,141
684,5628
685,6593
686,164
687,5646
688,6594
689,142
690,5641
691,6701
692,75
693,5598
694,6678
695,112
696,5617
697,6613
698,160
699,5628
700,6648
701,116
702,5642
703,6599
704,130
705,5688
706,6622
707,99
708,5661
709,6662
710,88
711,5637
712,6663
713,103
714,5608
715,6665
716,141
717,5605
718,6637
719,144
720,5632
721,6619
722,124
723,5660
724,6633
725,108
726,5642
727,6628
728,124
729,5672
730,6595
731,116
732,5674
733,6610
734,96
735,5677
736,6659
737,92
738,5625
739,6626
740,135
741,5676
742,6585
743,98
744,5704
745,6617
746,85
747,5637
748,6699
749,79
750,5633
751,6646
752,109
753,5650
754,6643
755,129
756,5619
757,6650
758,126
759,5651
760,6608
761,112
762,5676
763,6649
764,98
765,5625
766,6692
767,93
768,5638
769,6611
770,129
771,5655
772,6636
773,123
774,5637
775,6654
776,102
777,5637
778,6675
779,86
780,5627
781,6675
782,101
783,5619
784,6659
785,114
786,5643
787,6637
788,102
789,5672
790,6656
791,84
792,5634
793,6638
794,130
795,5653
796,6604
797,120
798,5673
799,6657
800,94
801,5611
802,6688
803,120
804,5602
805,6676
806,105
807,5638
808,6640
809,101
810,5654
811,6627
812,111
813,5648
814,6665
815,90
816,5633
817,6693
818,85
819,5609
820,6685
821,83
822,5657
823,6610
824,120
825,5668
826,6642
827,93
828,5642
829,6630
830,113
831,5667
832,6621
833,104
834,5637
835,6689
836,84
837,5611
838,6653
839,123
840,5669
841,6561
842,129
843,5690
844,6639
845,89
846,5640
847,6648
848,98
849,5672
850,6601
851,108
852,5658
853,6674
854,90
855,5597
856,6649
857,128
858,5679
859,6494
860,163
861,5707
862,6648
863,72
864,5605
865,6700
866,99
867,5635
868,6622
869,111
870,5681
871,6624
872,94
873,5642
874,6646
875,122
876,5637
877,6628
878,120
879,5659
880,6653
881,97
882,5638
883,6685
884,70
885,5654
886,6633
887,116
888,5665
889,6590
890,116
891,5680
892,6642
893,85
894,5661
895,6655
896,97
897,5631
898,6664
899,105
900,5635
901,6647
902,120
903,5653
904,6583
905,128
906,5687
907,6654
908,66
909,5632
910,6670
911,109
912,5643
913,6567
914,143
915,5707
916,6586
917,111
918,5662
919,6605
920,141
921,5658
922,6580
923,127
924,5677
925,6618
926,102
927,5638
928,6678
929,95
930,5647
931,6608
932,115
933,5680
934,6599
935,112
936,5651
937,6667
938,96
939,5635
940,6627
941,116
942,5668
943,6638
944,96
945,5620
946,6720
947,90
948,5578
949,6662
950,134
951,5637
952,6643
953,114
954,5630
955,6668
956,107
957,5629
958,6634
959,133
960,5594
961,6704
962,127
963,5560
964,6700
965,123
966,5601
967,6619
968,156
969,5620
970,6642
971,144
972,5586
973,6708
974,116
975,5564
976,6714
977,97
978,5606
979,6725
980,91
981,5546
982,6720
983,142
984,5556
985,6664
986,153
987,5593
988,6657
989,145
990,5543
991,6732
992,133
993,5564
994,6651
995,135
996,5609
997,6713
998,84
999,5554
1000,12
