t,spikes
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,2
10,65
11,623
12,4304
13,7294
14,1890
15,2037
16,5114
17,3371
18,3694
19,5886
20,1187
21,5064
22,6295
23,637
24,5310
25,6509
26,407
27,5435
28,6512
29,329
30,5451
31,6580
32,330
33,5444
34,6527
35,350
36,5488
37,6638
38,225
39,5502
40,6518
41,294
42,5585
43,6621
44,152
45,5558
46,6614
47,228
48,5537
49,6547
50,285
51,5574
52,6533
53,219
54,5667
55,6523
56,177
57,5637
58,6571
59,194
60,5602
61,6590
62,168
63,5651
64,6570
65,136
66,5695
67,6511
68,163
69,5749
70,6472
71,116
72,5768
73,6522
74,121
75,5725
76,6529
77,145
78,5704
79,6560
80,138
81,5667
82,6519
83,201
84,5682
85,6483
86,184
87,5690
88,6595
89,101
90,5653
91,6562
92,181
93,5668
94,6523
95,177
96,5674
97,6547
98,173
99,5639
100,6536
101,198
102,5643
103,6590
104,148
105,5650
106,6542
107,188
108,5638
109,6532
110,187
111,5683
112,6503
113,150
114,5702
115,6571
116,130
117,5665
118,6569
119,132
120,5704
121,6543
122,137
123,5690
124,6573
125,133
126,5653
127,6614
128,119
129,5690
130,6544
131,140
132,5698
133,6600
134,103
135,5668
136,6604
137,127
138,5683
139,6532
140,121
141,5740
142,6573
143,81
144,5658
145,6642
146,110
147,5663
148,6568
149,127
150,5713
151,6612
152,63
153,5686
154,6662
155,69
156,5672
157,6604
158,100
159,5721
160,6567
161,108
162,5699
163,6579
164,113
165,5727
166,6522
167,109
168,5755
169,6569
170,84
171,5714
172,6629
173,47
174,5693
175,6651
176,71
177,5658
178,6633
179,86
180,5685
181,6587
182,124
183,5685
184,6590
185,105
186,5713
187,6573
188,82
189,5738
190,6552
191,106
192,5740
193,6589
194,77
195,5713
196,6595
197,87
198,5722
199,6573
200,91
201,5719
202,6618
203,59
204,5693
205,6653
206,63
207,5694
208,6585
209,97
210,5720
211,6566
212,93
213,5728
214,6583
215,90
216,5707
217,6605
218,95
219,5678
220,6595
221,131
222,5682
223,6588
224,90
225,5727
226,6601
227,54
228,5695
229,6659
230,68
231,5673
232,6642
233,89
234,5673
235,6598
236,109
237,5699
238,6606
239,78
240,5684
241,6645
242,92
243,5652
244,6639
245,102
246,5673
247,6587
248,108
249,5714
250,6588
251,95
252,5691
253,6641
254,77
255,5653
256,6635
257,115
258,5656
259,6596
260,117
261,5685
262,6628
263,78
264,5679
265,6624
266,98
267,5689
268,6606
269,95
270,5702
271,6635
272,64
273,5675
274,6666
275,85
276,5638
277,6642
278,115
279,5671
280,6593
281,110
282,5674
283,6650
284,77
285,5675
286,6618
287,110
288,5680
289,6610
290,99
291,5690
292,6609
293,101
294,5668
295,6658
296,76
297,5646
298,6670
299,95
300,5622
301,6621
302,129
303,5676
304,6562
305,124
306,5704
307,6596
308,91
309,5679
310,6599
311,124
312,5678
313,6600
314,117
315,5681
316,6625
317,89
318,5662
319,6635
320,98
321,5679
322,6583
323,124
324,5708
325,6592
326,90
327,5702
328,6605
329,97
330,5702
331,6587
332,102
333,5707
334,6608
335,94
336,5671
337,6642
338,88
339,5673
340,6639
341,107
342,5669
343,6545
344,133
345,5756
346,6503
347,126
348,5728
349,6606
350,87
351,5707
352,6535
353,114
354,5751
355,6579
356,91
357,5683
358,6634
359,87
360,5673
361,6641
362,93
363,5699
364,6544
365,115
366,5743
367,6602
368,79
369,5678
370,6635
371,101
372,5667
373,6606
374,117
375,5681
376,6645
377,86
378,5682
379,6553
380,142
381,5728
382,6547
383,105
384,5693
385,6687
386,73
387,5586
388,6684
389,125
390,5649
391,6574
392,138
393,5684
394,6581
395,149
396,5667
397,6610
398,108
399,5696
400,6641
401,59
402,5642
403,6677
404,110
405,5627
406,6548
407,197
408,5688
409,6550
410,155
411,5667
412,6616
413,106
414,5674
415,6603
416,111
417,5683
418,6623
419,89
420,5664
421,6616
422,130
423,5675
424,6570
425,111
426,5716
427,6579
428,125
429,5645
430,6669
431,96
432,5658
433,6601
434,137
435,5689
436,6568
437,119
438,5713
439,6622
440,86
441,5639
442,6624
443,154
444,5652
445,6538
446,154
447,5716
448,6585
449,104
450,5682
451,6632
452,109
453,5637
454,6660
455,118
456,5632
