t,neuron
10.3,4700
10.6,5100
10.9,1200
11.1,6200
11.2,6100
11.3,2600
11.7,7500
11.8,4100
11.9,4600
12,6900
12,8800
12.1,4900
12.2,1700
12.2,5600
12.2,10300
12.2,10800
12.2,11900
12.3,9400
12.4,7100
12.5,600
12.5,8400
12.6,500
12.6,3000
12.6,5800
12.6,6300
12.6,7700
12.6,10000
12.7,1000
12.7,1100
12.7,5000
12.7,5900
12.8,100
12.8,1300
12.8,2500
12.8,2800
12.8,3300
12.8,6000
12.8,9900
12.8,11000
12.8,12200
12.8,12400
12.9,300
12.9,2000
13,200
13,700
13,2400
13,3600
13,7000
13,7300
13,7900
13,10100
13,11800
13.1,1600
13.1,1800
13.1,6400
13.1,8600
13.2,2100
13.2,2700
13.2,3100
13.2,3200
13.2,4000
13.2,4400
13.2,7800
13.2,8700
13.2,8900
13.2,11100
13.2,11600
13.2,12300
13.3,3700
13.3,5300
13.3,5400
13.3,5500
13.3,6500
13.3,8000
13.3,9800
13.3,11700
13.4,1500
13.4,1900
13.4,2200
13.4,3400
13.4,3500
13.4,6700
13.4,6800
13.4,7400
13.4,9300
13.4,9600
13.4,9700
13.4,10200
13.4,10500
13.4,10700
13.4,11300
13.4,12100
13.5,2300
13.5,3900
13.5,4200
13.5,4800
13.5,5700
13.5,6600
13.5,7200
13.5,8300
13.5,8500
13.5,9000
13.6,400
13.6,800
13.6,3800
13.6,8200
13.6,9100
13.7,1400
13.7,9200
13.7,10400
13.7,10600
13.7,11500
13.7,12000
13.8,7600
13.8,11200
13.9,4500
13.9,5200
13.9,8100
13.9,9500
14,11400
14.1,900
14.1,2900
14.1,4300
14.2,4700
14.2,10900
14.3,1200
14.3,5100
14.3,6100
14.3,6200
14.6,2600
14.6,4100
14.6,5600
14.6,7500
14.7,1700
14.8,4600
14.9,7100
14.9,8400
14.9,10300
15,6900
15,10800
15,11900
15.1,600
15.1,1100
15.1,9400
15.2,1300
15.2,2800
15.2,3000
15.2,5000
15.2,6300
15.2,7700
15.2,8800
15.2,9900
15.2,11000
15.3,500
15.3,4900
15.4,100
15.4,2000
15.4,5800
15.4,6000
15.4,7300
15.5,12200
15.8,200
15.8,3300
15.9,700
16,1000
16.1,10000
16.2,11800
16.3,10100
16.4,300
16.4,1800
16.4,1900
16.4,2400
16.4,4000
16.4,5900
16.4,8700
16.5,2700
16.5,6400
16.5,10200
16.5,10700
16.6,2500
16.6,5400
16.6,5500
16.6,6800
16.6,12400
16.7,1600
16.7,3100
16.7,3200
16.7,3600
16.7,4400
16.7,6600
16.7,6700
16.7,7900
16.7,8000
16.7,9200
16.7,9700
16.7,10500
16.7,11300
16.7,12100
16.8,11700
16.9,9000
16.9,11600
17,4200
17,4700
17,9800
17.1,2300
17.1,3500
17.1,3900
17.1,5200
17.2,2100
17.2,8200
17.2,8300
17.2,8500
17.2,9600
17.3,10400
17.3,11100
17.4,2200
17.4,3700
17.4,5700
17.5,800
17.5,4500
17.5,6100
17.5,7000
17.5,9300
17.6,4800
17.6,6500
17.6,11400
17.7,7600
17.7,8600
17.7,9500
17.7,11200
17.8,1200
17.8,3400
17.9,400
17.9,1500
17.9,3800
17.9,4100
17.9,10600
17.9,11500
18,900
18,5300
18,5600
18,6200
18,8900
18.1,1400
18.1,1700
18.1,4300
18.1,5100
18.1,7500
18.1,8100
18.1,12000
18.2,1100
18.2,1300
18.2,2600
18.2,3000
18.2,7100
18.2,7200
18.2,7300
18.2,7400
18.2,7700
18.2,7800
18.2,8400
18.2,9100
18.2,9900
18.2,10900
18.2,11000
18.2,12300
18.3,10300
18.4,100
