t,neuron
53.7388,5350
53.7727,9850
53.888,650
53.9414,750
53.9603,7650
53.9862,4800
54.0578,50
54.1632,9500
54.2074,8150
54.2497,3300
54.2518,2400
54.3713,8200
54.3794,9050
54.3808,9150
54.4086,9800
54.424,4300
54.4665,4600
54.5832,2800
54.7138,3700
54.7622,7900
54.8445,1300
54.8687,6200
54.8873,2450
54.8859,6050
54.9271,7750
54.9982,5000
54.9982,2150
55.0393,450
55.2311,7300
55.2827,5750
55.2896,9750
55.2945,5650
55.3993,7250
55.453,8300
55.4588,2650
55.4719,2050
55.6996,0
56.1205,1800
56.2046,100
56.2145,3750
56.2587,1750
56.3016,1950
56.3372,1000
56.3755,9300
56.49,8400
56.5765,200
56.5899,9450
56.601,9700
56.7951,5100
56.9017,8800
56.9107,7150
56.9155,5200
56.9192,6850
56.9617,5950
56.9893,9100
56.9904,600
57.0667,5500
57.0975,5150
57.1645,1700
57.7015,6450
57.8429,7550
57.8538,4500
57.885,1100
58.0796,7050
58.3926,1250
58.4951,6550
58.5184,6800
58.5625,4700
58.638,550
58.9234,5300
59.3561,4550
59.8492,8050
60.0702,4200
60.3604,3850
60.69,7700
61.0326,1450
61.0922,8650
61.1257,6300
61.3587,850
61.64,5700
61.9276,2500
61.9963,4350
62.0252,5850
62.3574,3900
62.3975,1050
62.9019,6500
63.2754,2950
63.4869,8750
63.7186,2900
63.7839,5000
63.8429,3200
63.9659,500
64.1538,7250
64.3495,6600
64.52,8700
64.5468,5250
64.6179,1800
64.7754,7850
64.7922,7800
64.856,3700
64.9185,150
65.0489,4950
65.1067,9550
65.2197,8250
65.1956,9400
65.2448,7950
65.3429,7200
65.5847,2800
65.6483,7000
65.6989,7650
65.7484,5650
65.7484,8550
65.7848,4900
65.7874,4300
65.8563,5950
66.0544,3650
66.2049,3750
66.2605,3050
66.2837,8400
66.5161,7400
66.5875,8600
66.6657,5800
66.6899,7300
66.8745,6750
67.0547,3000
67.1306,9100
67.1992,2600
67.3563,1950
67.5143,1600
67.6986,8000
67.7633,5900
67.7696,7600
67.7818,9850
67.8162,1900
67.929,4500
67.9508,9050
67.9469,8150
67.9681,2750
67.9724,3100
68.5923,7050
68.7315,4000
68.7352,9800
68.8382,5350
68.8919,1000
68.9623,350
69.0133,4650
69.013,1750
69.0302,8350
69.1375,7450
69.1463,1300
69.4652,2850
70.3563,9450
70.9836,200
71.3466,5200
71.3445,2400
71.6445,4850
71.6436,3300
71.6984,3600
71.9729,4750
72.1576,50
72.4985,4200
72.5931,5500
72.6344,9300
72.6232,9250
72.7057,6900
72.6987,7550
72.7423,100
72.8445,2200
73.0013,4800
73.3396,6700
73.6055,6450
73.6365,7250
73.6926,8800
73.7386,2150
73.7799,1650
73.8387,150
73.8536,450
73.8497,3550
73.9812,4550
74.1179,8100
74.1244,1400
74.1611,4400
74.1611,5050
74.2834,7750
74.4001,2650
74.4061,1800
74.5178,900
74.5911,8750
74.6436,5600
74.7181,9600
74.7563,7650
74.8507,8050
74.8986,8450
74.9462,7900
74.9311,1000
75.012,3400
75.2712,9750
75.2893,8850
75.3347,2000
75.3461,300
75.424,5700
75.4754,4450
75.5017,6800
75.5643,8300
75.6115,8950
75.8466,1550
75.9891,5450
76.1482,6350
76.1445,8700
76.1821,9500
76.2072,4950
76.2742,550
76.3676,2500
76.5007,3000
76.5956,7600
76.82,3750
76.9518,6300
77.7293,9050
77.9396,4500
78.4107,5350
78.9727,8200
78.9195,200
79.4727,9800
79.7374,3700
79.9154,8550
79.9342,5650
80.1303,7300
80.2022,2800
80.3391,3650
80.4107,4100
80.7335,8600
81.0757,8150
81.2914,850
81.2972,6100
81.3322,7450
81.366,1950
81.4106,6650
81.6173,7550
81.8126,1050
82.053,4300
82.2372,1300
82.2736,9950
82.3335,6150
82.5177,350
82.5215,3900
82.5573,1750
82.6047,7850
83.1173,2550
83.3816,8350
83.6631,5800
84.0911,5850
84.1704,100
84.274,7950
84.3004,750
84.3033,3050
84.4107,5100
84.419,7400
84.4342,7750
84.5134,8750
84.7406,3850
84.8913,7050
85.0392,8250
85.1293,7250
85.2138,9850
85.4943,2750
85.5155,9450
85.5666,8400
85.636,4350
85.7232,6750
85.939,8300
85.9596,5400
85.9657,7600
86.1289,4250
86.2088,8900
86.3949,5900
86.4363,1000
86.6274,8950
86.7135,5000
86.8324,9050
86.9173,9100
86.9192,3200
86.9353,1600
86.9943,4600
87.0087,7650
87.1331,3550
87.4161,1150
87.5516,1450
87.5654,8800
87.6157,1700
87.774,7300
87.8339,5950
87.8903,150
88.0686,8700
88.1979,2200
88.2615,3400
88.2903,6650
88.327,5700
88.3755,8100
88.5506,3600
88.5747,8550
88.6318,5750
88.7863,5200
88.9357,3750
89.0076,8350
89.0565,2950
89.0706,9400
89.0974,600
