t,neuron
391.4,11200
391.7,10800
391.9,5600
391.9,10400
392,2600
392.1,1800
392.1,5100
392.1,6100
392.1,8400
392.4,100
392.4,5500
392.7,3100
392.7,9100
392.8,5800
393.2,12100
393.5,500
393.5,4600
393.5,6000
393.5,10700
393.5,11000
393.7,2300
393.7,2800
393.7,7700
393.8,10500
394.8,8700
395.2,6400
395.3,3200
395.3,11700
395.4,2100
395.8,6700
396.8,2000
397.4,9500
422.6,11700
423.9,6900
424.8,6200
426.1,9900
427.1,4700
428,7500
432.7,4300
433.1,5300
433.7,1300
434,2700
434.1,5200
434.1,10000
434.5,7100
434.6,3100
434.8,4000
434.8,8100
435,3000
435.2,8200
435.2,9000
435.3,4200
435.3,5900
435.4,9800
435.5,800
435.5,2100
435.5,9700
435.6,11800
435.8,3500
435.9,5000
436.2,8800
436.8,6800
436.8,7600
436.9,6300
437.1,1700
437.2,4800
437.3,11200
437.5,1100
437.5,10700
437.6,2200
437.6,11000
437.6,11300
437.7,200
437.9,2600
438,6400
438.5,5400
438.7,400
439.1,3400
439.1,5500
439.1,10100
439.2,300
439.2,2400
439.2,10400
439.2,11700
439.4,7500
439.5,500
439.5,8400
439.5,8500
440.1,10200
440.6,1200
440.6,2800
440.6,6500
440.6,8600
440.7,4400
440.8,6700
440.8,8700
441,5600
441,6100
441.3,1800
442.5,9200
442.7,1900
443.3,900
443.9,4700
468.2,3700
470.8,11800
474.2,7300
474.5,10500
476.7,5800
477.2,4600
478.7,1800
479.7,1300
480.4,5000
481.2,6100
481.3,3000
481.4,11100
481.5,2000
481.5,3200
481.8,100
481.8,5400
482.1,6500
482.1,6800
482.2,8600
482.6,3100
482.7,4100
482.8,2700
482.8,6200
482.8,8100
482.8,9300
483,3400
483,4000
483.2,5700
483.3,600
483.4,4700
483.5,5500
483.5,8700
483.6,5900
483.7,1500
484,3900
484.2,9900
484.2,11700
484.3,300
484.3,400
484.4,5100
484.4,8500
484.4,11000
484.5,800
484.5,1700
484.5,5300
484.5,7500
484.5,8000
484.5,10700
484.5,11500
484.6,6000
484.7,1100
484.7,5600
484.7,7300
484.9,10900
485.2,3500
485.3,5200
485.6,2900
485.6,6700
485.6,10200
485.8,12200
486,1200
486.3,10400
486.6,8400
487,2100
487,2800
487.5,11800
487.7,1300
487.7,9400
488.3,6100
488.9,1900
489.5,7000
489.8,6900
490.8,2400
491.1,4400
495.9,9800
496.1,2600
497.8,9100
514.3,8600
518.3,11000
524,500
526.6,8800
538.5,11700
544.4,2700
544.4,7500
544.6,7100
545.1,600
545.1,5900
545.2,3700
545.6,11100
546.2,11300
546.6,5700
546.9,11200
547.6,10300
548.1,5000
548.1,5400
548.6,6300
548.7,700
548.7,6400
548.9,2800
549.3,5300
549.7,2000
549.7,8000
550,2600
550,11800
550.3,11000
550.4,8700
550.5,3600
550.6,1000
550.6,8500
550.7,1900
550.7,2100
551.1,5100
551.1,5600
551.1,10100
551.1,10600
551.2,3400
551.2,3800
551.2,6500
551.3,3500
551.5,1700
551.6,900
551.6,9800
551.7,3200
551.7,7300
551.8,4700
551.8,6700
551.9,4200
551.9,6100
551.9,6800
552.2,9500
552.3,6600
552.7,1500
552.7,2400
553.1,1100
553.2,1300
553.2,5500
553.3,1200
553.4,9900
553.9,4100
553.9,6000
553.9,8900
554,3900
554.7,1800
554.9,500
555,8200
557.1,8400
558.5,4400
561,4600
590.7,400
593.3,10400
594,7700
594.6,2400
595.5,4800
598.2,800
598.3,10500
599.9,500
600,8500
600.6,8100
600.7,6200
603.5,5300
603.8,3900
604.4,9400
605.1,1100
605.3,5100
605.3,11300
605.5,600
605.6,11100
606.5,100
606.5,11200
606.5,11700
606.6,9200
606.8,11800
606.9,5400
606.9,8000
607.1,200
607.1,1800
607.2,3000
607.4,7500
607.7,7600
608.3,6100
608.5,6700
608.5,9900
608.6,2100
608.7,12100
610,2700
610.1,8700
610.4,5700
611.2,1500
611.4,4700
611.5,10200
611.6,5000
611.7,6400
612,9700
612.5,5600
613.2,3400
613.2,4100
614.7,9800
615.6,6200
616.4,10600
616.5,1300
616.7,1900
618.1,8600
618.6,4000
619.2,2600
620.3,6900
621.5,10700
622.1,11000
622.3,2800
622.4,8400
622.5,11600
623.5,6300
623.7,7300
623.9,6700
624,4600
625.1,7100
625.3,4400
625.7,9500
626.1,5500
626.4,2000
626.4,11200
626.5,6800
626.6,7500
627.3,10200
627.7,6000
628,8500
629.3,6500
631.1,2400
631.7,1400
632.3,6100
633.5,5600
634.3,11000
642.2,5900
642.7,8700
643.3,4200
649.8,1300
665,8000
669,11300
669.4,4000
669.6,2900
670,1100
670.4,10400
671,1700
671,4800
671.2,900
671.3,6600
671.5,5200
671.7,3900
672.3,9900
672.7,400
673,6100
673,10700
673.1,2700
673.1,3300
673.1,4500
673.2,2600
673.2,4100
673.2,8400
673.3,3200
673.3,5600
673.4,11700
673.7,3100
673.7,7100
673.7,8100
674,200
674,3500
674,3700
674,4200
674.1,4700
674.1,8900
674.1,9300
674.1,9500
674.2,5000
674.2,9200
674.3,2100
674.3,5400
674.3,11200
674.4,7900
674.4,11800
674.5,800
674.5,11100
674.7,6300
674.8,5500
674.8,7700
675.1,8600
675.2,1200
675.2,1300
675.3,1900
675.3,6700
675.4,12100
675.6,2800
675.6,8200
675.7,5900
675.8,4400
675.9,6400
676,3000
676,5300
676,7300
676,7500
