t,neuron
56.8,8550
56.9,1800
56.9,2950
56.9,5650
57.1,5050
57.1,5300
57.1,6300
57.1,6500
57.1,8650
57.2,1250
57.3,4650
57.3,9850
57.4,2150
57.4,6800
57.6,8850
57.7,3550
57.7,6550
57.7,7700
57.8,2850
57.9,5750
58.1,7200
58.4,7850
58.9,200
58.9,2050
58.9,2900
59.1,9250
59.5,6600
59.6,4550
60.2,3900
60.4,4050
61.2,2800
61.2,8400
61.3,4500
61.8,6100
62.5,9050
62.5,9100
62.6,4000
62.7,600
62.7,5200
62.8,2700
62.9,1550
63.1,5800
63.1,7050
63.3,9400
63.4,9950
63.5,5950
63.5,7150
63.5,7250
63.6,5350
63.8,7300
63.8,8750
63.9,500
64.2,2550
64.3,4350
64.3,4950
64.3,9300
64.4,3700
64.5,3650
64.5,6350
64.6,350
64.6,7000
64.8,5850
64.9,100
65.1,9850
65.2,550
65.3,900
65.3,8700
65.4,7450
65.5,850
65.5,3550
65.6,50
65.6,1950
65.7,4750
65.7,8800
65.7,9150
65.9,1750
66.1,7900
66.2,9800
66.3,9550
66.4,5900
66.4,6650
66.5,1800
66.8,7800
67,5650
67.1,650
67.1,1050
67.2,1000
67.2,8550
67.3,1650
67.7,1900
67.7,9450
67.9,8600
68.1,1300
68.3,3200
68.6,1450
69.4,9100
69.6,4300
69.8,6450
69.9,4600
69.9,7650
70.1,3300
70.1,4200
70.1,5050
70.4,450
70.5,2750
70.7,3750
70.8,1400
70.9,5250
71,2400
71,5700
71.1,7600
71.2,2600
71.2,4450
71.2,5450
71.3,4550
71.4,6800
71.5,750
71.8,5500
71.8,7550
71.8,7950
71.9,7200
72.2,7250
72.4,150
72.5,3850
72.6,3900
72.8,2800
72.8,3100
72.8,8100
72.9,5150
73.1,5350
73.1,9500
73.2,4150
73.2,8200
73.2,8750
73.3,1150
73.3,2650
73.5,5600
73.8,2200
73.8,8150
74.1,2450
74.2,4500
74.3,200
74.6,6600
74.6,7050
74.7,550
74.7,5800
74.8,9650
75.3,300
75.3,8250
75.4,5950
75.7,8050
75.8,1000
75.9,1700
75.9,6300
76,5100
76.2,9050
76.3,100
76.6,7850
76.7,6950
76.8,4950
76.9,3000
77,7550
77,8450
77.1,1600
77.3,6900
77.5,3550
77.6,3400
77.7,2050
77.8,9850
77.9,7300
78,8000
78.1,8550
