t,neuron
58.4,6300
58.7,1800
58.7,2950
58.8,9500
59.2,550
59.2,9800
59.5,2300
59.5,9050
60,5250
60.3,1000
60.7,3700
61,1050
61,8950
61.1,7950
61.1,8850
61.2,4500
61.3,50
61.5,1750
61.6,7050
62.2,2500
62.2,5750
62.6,4450
62.8,7850
64.2,9250
64.3,9100
64.5,8300
64.5,8600
64.8,1950
64.9,7400
65.6,6950
65.9,8750
66.4,2650
66.5,6600
66.6,7450
66.7,7550
66.7,8050
66.8,2750
67,5950
67,8350
67.1,1800
67.1,3900
67.1,7250
67.1,9400
67.2,7200
67.3,4200
67.4,6800
67.4,7300
67.8,3550
68,5700
68.2,6150
68.3,600
68.3,6450
68.3,9150
68.4,2850
68.4,5100
68.4,7650
68.5,5000
68.5,5050
68.5,5800
68.5,8400
68.6,0
68.8,1450
68.8,3150
68.9,200
68.9,3100
69,100
69.1,8550
69.3,5300
69.4,550
69.4,6350
69.4,8150
69.5,4550
69.5,7000
69.6,5450
69.6,8700
69.6,9850
69.7,5350
69.7,6700
69.7,7900
69.8,750
69.8,2800
69.8,3750
69.8,4000
69.8,5650
69.9,8200
70,4500
70.1,2550
70.1,2900
70.2,5150
70.3,2150
70.3,6650
70.4,1600
70.5,7600
70.6,9450
70.9,2200
70.9,2950
71,3300
71,8800
71.2,4650
71.9,1000
72.1,5500
72.1,8750
72.7,450
72.7,4950
72.7,5200
72.8,1050
73.2,4300
73.6,250
73.6,300
73.9,350
74.1,9350
74.4,3850
74.4,4750
74.7,1300
74.8,8100
75,6750
75.4,8450
75.5,900
75.8,1650
75.9,3050
76.7,3200
76.8,8200
76.8,8550
76.9,650
76.9,850
76.9,3400
76.9,4400
76.9,6300
76.9,8250
76.9,9050
77,4900
77,5900
77.1,1350
77.2,1900
77.4,9850
77.6,500
77.6,1750
77.6,2400
77.6,4800
77.6,6800
77.7,8000
77.8,9650
77.9,5600
78,8350
78.1,2050
78.4,1400
78.4,7850
78.4,9800
78.5,5500
78.5,7050
78.6,3700
78.7,7550
78.8,150
78.8,7700
78.9,5800
78.9,7950
79,1800
79.1,4450
79.1,7250
79.6,9300
79.7,1000
79.7,2900
79.7,6900
79.8,3650
79.8,7450
80.2,9500
80.5,3550
80.6,1150
80.6,1250
80.6,4350
80.7,4550
81.6,5100
81.6,8800
81.7,8050
81.9,5850
82,4500
82,5200
82,5700
82,7600
82.3,9450
82.7,3000
82.7,5650
83,4600
83.1,1550
83.1,4850
83.1,6100
83.2,7650
83.3,8150
83.5,7300
83.5,9950
83.6,1600
83.8,9050
83.9,4950
83.9,7900
84.1,2800
84.1,6500
84.1,9550
84.2,4300
84.3,3900
84.6,3750
84.7,4250
84.9,1950
85,7750
85.4,5950
85.4,8250
85.7,1300
85.7,1850
85.7,7050
86,2350
86.1,5350
86.2,550
86.2,4050
86.2,5150
86.2,6550
86.3,450
86.5,5500
86.6,4200
86.6,8700
86.7,5000
86.7,5250
86.8,8750
86.9,3100
86.9,6450
86.9,6750
86.9,8400
87,6850
87.4,1800
87.8,2150
87.8,2750
87.8,4700
88,1450
89.2,5800
89.2,8300
89.4,1700
89.6,600
89.8,100
90.1,8550
90.2,7250
90.4,3050
90.8,500
90.8,2200
90.8,2500
90.8,3300
90.8,5450
90.9,9700
91.1,50
91.3,200
91.3,8600
91.3,9100
91.4,3700
91.4,7850
91.6,5650
91.6,6350
91.6,7000
91.7,5050
91.8,5100
91.8,8500
91.9,8350
92,1000
92,3650
92.1,1050
92.1,6600
92.1,7450
92.3,2050
92.3,5400
92.5,4450
92.6,3850
92.6,5750
92.6,9800
92.7,4850
92.7,6250
92.8,350
92.8,4400
92.9,1400
92.9,4650
92.9,9250
93.1,8950
93.2,6650
93.2,7300
93.4,6300
93.9,1750
95.1,8700
95.2,4950
95.3,9150
95.4,7550
95.5,8800
95.6,750
95.8,7150
96.4,5200
96.5,4200
96.5,9750
96.6,3900
97.4,1650
97.5,4750
97.6,7700
98,8450
98,9050
98.2,8150
98.3,3200
98.5,6750
98.6,8400
98.7,550
98.8,5300
98.8,7000
98.9,7800
99,4000
99,7100
99,7650
99.2,7400
99.4,5600
99.5,2950
99.7,7200
99.7,9500
99.7,9950
99.8,4600
99.9,3400
99.9,7250
100,4300
100,4350
100,9850
100.1,1000
100.2,7600
100.4,5000
100.4,7850
100.9,150
100.9,3700
100.9,5650
101.3,5950
101.3,6450
101.4,1300
101.4,5500
101.5,1100
101.6,5350
101.7,1550
101.7,5800
101.7,5850
101.9,1250
101.9,7900
102,2000
102,2550
102,7950
102.1,4900
102.1,8750
102.1,9300
102.2,1800
102.3,7750
102.4,8550
102.5,2850
102.7,1150
102.7,5250
102.7,9400
102.7,9550
102.9,1700
102.9,2400
103.2,2050
103.2,7050
103.2,9800
103.3,4800
103.3,8050
103.4,200
103.9,6800
104.3,8200
105.1,3100
105.5,100
105.5,9450
106,8350
106.4,4050
106.5,7300
106.6,8600
106.7,0
106.7,1750
106.7,4500
106.7,8800
106.8,9100
106.9,350
106.9,1400
106.9,5900
107,5100
107.1,1050
107.1,3650
107.5,7650
107.6,8300
107.7,5150
107.9,6950
108.1,8150
108.2,2600
108.2,4250
108.2,6700
108.2,9250
108.3,1900
108.3,2750
108.4,2900
108.4,3050
108.4,7450
108.5,550
108.6,8250
109,250
109.1,2650
109.2,8000
109.3,3300
109.3,6300
109.7,9150
109.8,3750
109.9,900
109.9,2450
110.1,5200
110.1,8850
110.4,6500
110.6,4200
110.6,4700
110.6,5750
110.9,3550
111,5000
111.2,500
111.5,6100
111.5,7250
111.7,50
111.8,450
111.8,5650
111.9,3700
111.9,7200
111.9,8400
112,1450
112,1800
112,4950
112,7600
112.1,6750
112.2,7000
112.3,850
112.3,4350
112.3,4550
112.3,6550
112.5,5700
112.5,9850
113,9800
113.2,750
113.2,8750
113.3,8700
113.4,100
113.4,4800
113.4,6600
113.5,1950
113.8,6200
114,1000
114,4300
114.3,8650
114.3,9050
114.7,3650
114.9,4450
115.2,7550
115.9,3900
116.4,7050
116.4,7650
116.5,5800
116.7,2950
116.9,5350
116.9,5850
117.2,1400
117.2,4850
117.2,9300
117.3,1600
117.3,2800
117.5,4000
117.5,7150
117.6,8550
117.7,350
117.8,2500
117.9,4150
118.3,5450
118.7,5500
118.9,7800
118.9,8350
119,2200
119,9750
119.1,6800
119.3,3200
119.3,8300
119.5,2050
119.5,3750
119.7,650
119.8,9950
120.1,6850
120.3,1300
120.3,3400
120.3,5000
120.3,7300
120.3,8500
120.4,8600
120.6,2850
120.8,800
120.9,4950
121,3050
121.1,200
121.1,2000
121.1,4600
121.1,6900
121.2,1750
121.2,5100
121.3,8200
121.5,1250
121.5,7850
121.5,8900
121.6,3600
121.6,4200
121.6,5900
121.6,7450
121.6,7950
121.8,300
121.8,1800
121.8,1900
121.8,2300
121.8,4500
121.8,7900
121.8,8000
122.1,3700
122.1,6300
122.5,150
122.5,900
122.5,8050
122.7,100
122.7,3000
122.7,7650
122.9,4650
122.9,5650
122.9,7400
123,6750
123,7750
123.1,2550
123.1,9450
123.2,1650
123.3,9500
123.4,500
123.4,8800
123.4,9400
123.5,8450
123.6,4850
123.8,8950
124.2,8250
124.4,9700
124.5,9050
124.8,7050
124.9,1000
125.1,5400
125.6,5700
125.9,7250
126,5800
126.3,550
126.4,9800
126.5,6100
126.6,5150
127.3,7700
127.4,1850
127.4,7600
