t,spikes
793,370
794,201
795,290
796,307
797,595
798,822
799,1210
800,271
801,79
802,144
803,322
804,240
805,261
806,505
807,728
808,686
809,389
810,260
811,139
812,255
813,399
814,501
815,768
816,680
817,444
818,814
819,381
820,727
821,340
822,239
823,586
824,398
825,184
826,195
827,368
828,791
829,1250
830,531
831,257
832,305
833,469
834,505
835,759
836,283
837,139
838,276
839,519
840,1006
841,757
842,114
843,190
844,356
845,337
846,527
847,390
848,618
849,594
850,227
851,90
852,203
853,422
854,771
855,788
856,636
857,457
858,323
859,392
860,449
861,524
862,395
863,499
864,931
865,300
866,214
867,265
868,244
869,409
870,586
871,436
872,285
873,316
874,267
875,398
876,702
877,643
878,1084
879,717
880,421
881,409
882,514
883,633
884,618
885,433
886,267
887,266
888,422
889,301
890,271
891,376
892,603
893,685
894,377
895,505
896,559
897,700
898,581
899,580
900,401
901,162
902,226
903,366
904,602
905,560
906,529
907,313
908,257
909,503
910,721
911,588
912,842
913,814
914,563
915,230
916,139
917,175
918,318
919,513
920,341
921,353
922,194
923,192
924,299
925,532
926,623
927,532
928,605
929,840
930,401
931,450
932,190
933,337
934,538
935,644
936,858
937,757
938,277
939,175
940,248
941,266
942,484
943,548
944,460
945,419
946,697
947,556
948,342
949,268
950,271
951,705
952,752
953,522
954,300
955,444
956,438
957,663
958,466
959,322
960,161
961,207
962,234
963,302
964,470
965,514
966,606
967,452
968,435
969,414
970,404
971,694
972,874
973,1032
974,496
975,117
976,206
977,322
978,345
979,615
980,445
981,312
982,446
983,675
984,757
985,434
986,309
987,305
988,409
989,456
990,435
991,521
992,472
993,123
994,128
995,171
996,396
997,862
998,1619
999,1409
1000,117
