t,neuron
63.3,4950
63.5,2950
63.5,5650
63.5,8700
63.6,3150
63.6,4450
63.9,1600
64,2600
64,8200
64.1,5350
64.4,900
64.4,5250
64.4,5800
64.4,8950
64.6,300
64.7,500
64.7,4500
64.8,3900
64.8,4800
64.8,7200
65,9850
65.1,6600
65.5,550
65.5,2050
65.6,5150
65.8,3050
65.9,2900
65.9,7950
66,6650
66,9100
66.1,4300
66.1,7450
66.1,9050
66.2,4700
66.2,6750
66.3,1750
66.3,4550
66.3,7400
66.4,1000
66.4,3400
66.5,1450
66.6,3200
66.7,2850
66.7,7000
66.7,7800
66.8,1800
67,350
67,8850
67.2,2700
67.2,6350
67.4,1900
67.4,4200
67.4,5850
67.4,7550
67.6,8150
67.7,3100
67.7,4400
67.8,5700
67.8,7600
67.9,7250
68,750
68.1,5200
68.3,1350
69,8050
69.4,8800
69.5,7050
69.6,4150
69.6,7900
69.8,6450
70.5,8000
70.6,3300
70.6,3750
70.6,5500
70.7,9300
70.9,9450
71.2,1300
71.4,450
71.5,200
71.5,3450
71.7,8350
71.8,1650
71.8,6100
71.8,7650
71.8,7750
71.9,50
71.9,4600
71.9,8100
72.1,4850
72.4,4750
72.4,5050
72.5,2750
72.5,4000
72.6,3850
72.6,5450
72.6,5800
72.6,8600
72.7,3000
72.8,2400
72.8,5950
72.9,5000
73.1,4250
73.1,8400
73.2,2150
73.2,7850
73.3,100
73.3,1150
73.3,1400
73.3,2800
73.3,4300
73.3,9150
73.4,5100
73.4,6750
73.5,150
73.5,6300
73.8,8550
74,4350
74,8250
74.2,6900
74.2,7700
74.3,350
74.7,1800
74.7,8650
74.9,8750
75.4,5650
75.8,5350
75.9,3550
76.3,6150
76.8,850
77.6,5900
77.8,9750
77.9,9850
78,4500
78.1,4950
78.2,300
78.2,8700
78.5,2850
78.7,8450
78.9,5250
78.9,7550
79,4650
79.3,5700
79.6,3700
79.7,6800
79.8,1050
79.8,7300
80.1,7250
80.4,550
80.4,5200
80.6,9050
80.6,9800
80.9,7600
81.1,1000
81.2,3650
81.4,500
81.5,2200
81.6,2500
81.6,8150
81.7,5750
81.7,7050
81.8,5100
82,1250
82,6950
82.1,1750
82.1,3050
82.1,9950
82.2,5500
82.3,1300
82.5,4550
82.6,3600
82.6,4600
82.6,8300
82.7,3900
82.9,5650
82.9,8550
83.2,1600
83.3,7800
83.4,1400
83.4,5800
83.5,2650
83.7,6700
83.7,8350
83.7,9100
83.8,7650
84.2,7950
84.3,600
84.5,1700
84.5,5400
84.6,6850
84.7,3000
84.8,8050
84.9,4250
84.9,9500
85,4750
85,6500
85,8200
85.1,8400
85.1,9300
85.2,2450
85.2,3100
85.2,5350
85.3,2950
85.3,4000
85.3,9250
85.4,4200
85.5,200
85.5,350
85.5,2900
85.5,3750
85.5,4300
85.7,1950
85.9,6650
86.3,4050
86.3,7000
86.7,8800
87.5,4850
88.2,550
89.2,2050
89.5,9600
89.9,2000
90.2,100
90.4,9050
90.6,8700
90.9,750
91.4,7400
91.5,2800
91.6,4400
91.6,5600
91.6,7900
91.7,8750
91.8,6450
91.9,2150
91.9,7300
92,7250
92.2,1800
92.3,1150
92.3,3300
92.3,3700
92.3,4600
92.5,4450
92.5,6550
92.6,7450
92.7,150
92.8,7850
92.9,4800
92.9,4950
92.9,5450
92.9,7050
93.2,1050
93.3,3200
93.6,1250
93.7,9450
93.8,50
93.8,3900
93.8,7650
93.9,0
94,2850
94.1,2950
94.2,1900
94.4,7600
94.6,500
94.6,5500
94.7,6300
94.8,1650
94.9,1000
94.9,1750
94.9,7700
95,4850
95,8150
95.1,4200
95.1,6350
95.1,6650
95.2,3650
95.3,2750
95.3,3050
95.3,8350
