t,neuron
105.3,2050
105.3,4150
105.3,6250
105.3,8650
105.5,10150
105.5,10350
105.7,6850
106.1,10650
106.7,4650
106.8,11850
106.9,3750
106.9,5950
107.1,3350
107.1,7050
108.1,5350
108.2,5150
108.2,10750
108.6,12450
108.9,3450
109.1,12350
109.5,11450
110,1250
111.3,3050
112.3,4850
112.7,6150
112.9,2550
113,9050
113.1,8950
113.1,11050
113.3,9350
113.3,10950
113.6,850
113.7,8150
113.7,9150
114,2350
114,4950
114.1,3950
114.6,4450
114.7,1450
114.9,9450
115.2,12050
115.5,750
115.6,5450
115.7,2150
115.9,3450
115.9,7750
116,5350
116.1,1550
117.1,5550
117.2,250
117.2,5050
117.2,9650
117.2,12250
117.3,8050
117.3,9250
117.3,10550
117.3,11550
117.4,1350
117.5,6050
117.5,11150
117.6,2050
117.9,4550
118.1,6850
118.5,4150
118.6,2650
118.6,3650
118.8,2850
119,3550
119.3,10450
119.5,10150
119.6,2450
119.9,9950
120,11950
120.3,7850
120.5,5750
120.9,2750
121.5,1150
121.7,2550
121.9,4350
122.1,10250
122.4,5850
122.7,5650
122.8,3250
122.9,11050
123,12450
123.1,6550
123.7,6650
123.7,11750
123.8,7250
124.2,2950
124.4,650
124.4,6050
124.6,9050
124.8,4150
124.8,5150
124.9,1650
125.2,4650
125.8,1250
126.1,2050
126.1,3450
126.1,7450
126.5,8450
127.1,3150
127.1,7650
127.2,8350
127.4,8750
127.6,9150
127.8,5450
127.9,5950
128,150
128,3950
128.5,50
128.5,7950
128.8,8250
128.8,9450
130.1,8050
130.4,2450
130.4,5350
130.5,350
130.7,6150
130.8,4350
131.1,8550
131.4,12050
131.6,8150
131.7,4550
132.3,3750
132.9,7850
133.6,2650
133.8,10650
133.9,10250
134,2150
134.3,4950
134.3,5450
135.3,11050
135.5,6450
135.7,6850
136.5,9950
136.7,750
136.8,2950
136.9,4150
137.2,4750
137.4,2850
137.6,5750
138,7750
138,12150
138.1,1650
138.2,10550
138.2,10750
138.4,650
138.4,1550
138.4,8950
138.5,3050
138.5,3150
138.6,5850
138.6,6950
138.6,11350
138.7,11750
138.8,1350
138.8,2450
138.8,2750
138.8,8850
138.9,11150
139.1,2050
139.1,6050
139.3,2350
139.3,4050
139.3,7850
139.4,9250
139.4,9650
139.5,5150
139.6,3550
139.7,850
139.7,10950
139.9,11950
141.1,9350
141.2,4650
141.9,10850
142.8,6850
143.6,3450
144.4,8150
144.5,9850
144.5,10250
144.6,9150
144.7,4350
144.7,5350
144.7,12450
145.3,450
145.3,8050
145.5,9050
146.4,4850
146.6,11050
146.9,11550
147.2,3950
147.6,2550
147.9,5450
148,1250
148.6,5550
149.9,7650
150.5,550
150.6,10150
150.9,7050
151.1,5950
151.3,650
151.3,3350
151.7,4550
151.8,1950
151.8,12250
151.9,6350
152.1,11750
152.3,2050
152.3,3650
152.4,4650
152.5,750
152.8,8750
152.8,11650
152.9,3550
152.9,6550
152.9,11850
153,2450
153,4150
153,12050
153.2,8950
153.2,11450
153.5,7850
153.6,50
153.7,5650
153.7,8350
153.8,3450
153.8,4950
153.8,5050
153.9,250
153.9,5850
154.2,2750
154.2,5150
154.2,7550
154.2,8450
154.3,1550
154.3,6450
154.6,950
154.7,9350
154.7,11350
154.8,10950
154.8,11950
155,6250
155.5,10250
155.7,8650
156.3,4350
158.5,9150
159.9,2350
159.9,5450
159.9,5750
159.9,6950
159.9,10050
160.3,3950
160.3,5350
160.4,7250
160.5,6050
160.6,2950
160.6,11050
160.7,9950
160.8,2450
161,4150
161.1,850
161.4,9450
161.5,9050
161.7,4450
161.8,5950
161.8,8950
162.1,4850
162.2,3050
162.4,2150
162.5,11550
162.6,5550
162.9,2850
162.9,8050
163.4,3750
165.1,2750
165.3,1650
166.1,1350
166.1,8450
166.2,1250
166.7,3450
166.7,10350
166.7,10550
166.9,12050
167,6850
167.1,7750
167.4,10150
167.6,10750
167.9,1450
168,50
168.3,2550
169,3250
170.4,5850
170.7,350
171,8150
171.2,4950
171.3,6050
171.4,2050
171.4,7650
171.5,7850
171.7,4650
172.1,2950
172.1,10250
172.2,4350
172.4,5350
172.4,9650
172.4,11150
172.5,3050
172.5,6150
172.5,6250
172.5,10450
172.6,5150
172.6,12250
172.8,750
172.8,3350
172.9,250
172.9,4750
172.9,11050
173,3650
173.3,2650
173.3,5050
173.4,12450
173.6,4850
173.6,9150
173.7,1150
173.8,3950
173.8,9050
173.8,11450
173.9,5450
174.1,3550
174.2,3150
174.2,9350
174.3,4150
174.3,11950
174.4,3450
174.4,10850
175.3,650
175.6,9950
175.6,12050
175.9,3750
176.1,11750
177.4,2450
178.6,6550
179.5,6650
179.7,4550
179.7,11350
180.1,850
180.2,10250
180.3,8050
180.5,250
180.6,5350
180.6,6850
180.6,11050
181.1,7950
181.5,5750
181.6,1250
181.9,2350
182.4,8450
182.5,4350
182.5,10950
182.8,7150
183,2850
183.5,7550
183.5,9150
183.8,9850
184.1,450
184.5,8550
184.8,2050
184.8,8650
185,6450
185,8950
185.1,5850
185.5,10150
185.6,3950
185.8,7850
186,5450
186.6,3450
186.6,4650
186.6,8350
186.7,2550
186.8,9350
186.9,10750
186.9,11550
187,4950
187.1,2950
187.2,7050
187.5,5150
187.6,650
187.6,750
188.2,10850
188.3,1650
188.6,8150
189.7,11050
190,4550
190.2,9050
190.2,10950
190.6,6150
190.7,4150
190.9,4450
190.9,8750
191,12450
191.1,2450
191.2,11750
192.1,2750
192.2,3950
192.3,1750
192.3,7250
192.3,9250
192.4,6050
192.4,6850
192.5,1350
192.6,10650
192.7,5050
193,7750
193,9950
193,10250
193.1,3750
193.3,9150
193.5,250
193.5,11950
193.7,4350
193.8,12250
194,11350
195.2,50
196.1,9450
196.3,4750
196.5,2850
196.6,3550
196.9,12350
197,7850
197.3,5550
197.5,2150
198.3,1250
198.4,2050
199,350
199.1,5350
199.4,6450
199.5,10350
199.7,3450
199.7,4150
199.7,5950
199.7,8050
199.7,8950
199.8,1550
199.8,3250
199.9,6250
199.9,8350
199.9,10550
200.1,2350
200.1,3050
200.1,4450
200.2,10150
200.2,11050
200.3,2550
200.3,12050
200.4,4850
200.6,3750
200.6,4650
200.6,8650
200.9,1450
200.9,11650
201,5450
201,5750
201,7150
201.3,5150
201.3,6950
201.3,9650
202.4,10450
202.7,1150
203.9,4350
204.1,8150
205.5,2450
205.7,3150
205.8,6850
205.9,2950
206.1,3950
206.2,6550
206.3,5050
206.5,11750
207,10850
207.1,8750
207.2,11150
207.3,7750
207.3,10250
207.4,4850
207.6,7650
207.8,9950
208.7,5850
208.8,3650
209.2,6050
209.4,4350
210,8450
210.1,9150
210.2,6150
210.4,1650
210.4,10750
210.5,7150
210.5,7950
210.7,7850
210.7,11950
211.1,12050
211.2,9350
211.3,9050
211.4,8050
211.5,4650
211.6,750
211.7,2050
211.7,7050
211.7,11050
211.9,850
211.9,12450
212.1,5750
212.2,11850
212.3,4150
212.3,4950
212.6,7250
212.7,10650
212.8,10450
213.3,2650
213.3,11350
213.5,9850
214.1,3950
215.2,3450
215.9,2750
216.2,6550
216.3,3250
216.9,3550
217.3,2350
217.5,8150
217.6,5350
217.7,10250
217.9,11550
218.1,10950
218.5,5150
218.6,4550
218.7,11050
218.8,650
218.8,5450
219,3350
219,3750
219.2,2850
219.3,12150
219.4,550
219.5,2450
219.9,6050
220.2,5950
220.2,9150
220.5,9650
220.8,8950
221.2,1350
221.3,2050
221.4,8350
221.4,11850
221.6,4350
221.6,6850
222.9,350
222.9,4950
222.9,8650
222.9,12250
223,50
223,4650
223,11150
223.2,5050
223.3,8750
223.8,12050
224,8050
224.3,7750
224.5,3050
224.5,4850
224.5,10550
224.6,2950
224.8,3550
225,5550
225,5750
225,10150
225.1,4550
225.2,5350
225.3,1250
225.6,12350
225.8,3450
226.1,850
226.5,3950
226.5,9050
226.5,10950
226.7,10250
226.9,12450
227,8250
227.1,11750
227.2,10750
227.6,1650
228.2,2450
228.3,4750
228.5,9350
228.6,9850
229,9950
229.2,10650
229.3,2850
229.9,250
230,2550
230.2,1150
230.2,6450
230.4,6550
230.5,2050
230.6,4150
230.6,4350
230.7,6850
230.8,8450
230.9,2750
230.9,11050
231.9,7850
232.3,3750
232.4,6150
232.6,750
232.6,7550
232.8,5850
232.9,10050
232.9,10350
233.2,4450
233.5,450
233.9,3950
234,6950
234.1,7250
234.2,2150
234.2,2650
234.3,6050
234.4,3450
234.6,5150
234.7,8950
234.8,6250
234.8,11450
235,5750
235.1,5450
235.3,8750
235.4,10950
235.6,2350
236,7650
236.2,650
236.2,7050
236.4,3250
236.5,4650
236.7,9450
238.2,8150
239.9,12250
240,4150
240,11050
240.5,9150
240.8,7150
240.9,10450
241.6,5350
241.6,6650
241.6,10250
242.4,2950
242.5,11850
242.5,12450
242.6,8550
242.6,9350
242.7,9050
242.9,11750
243.1,4950
243.2,2050
243.2,2550
243.4,50
243.6,9650
243.7,3550
244.2,2450
244.8,8750
245.2,1450
245.5,10150
245.8,3450
245.8,12050
246.1,4350
246.2,9950
246.6,2850
247.3,550
247.3,5050
247.3,10950
247.5,3750
247.7,7250
247.9,3250
247.9,8150
247.9,8350
248.2,1650
248.2,8050
248.2,9850
248.6,6150
249.1,850
249.1,3950
249.1,4650
249.3,8950
249.4,5950
249.5,2050
249.7,4550
250.4,3350
250.7,2150
250.7,11550
251.8,10650
251.9,9350
252.2,7750
252.2,11050
252.4,7850
252.5,6850
252.8,8450
253,2750
253.5,5850
253.6,10750
253.7,5750
254.6,5150
254.6,6050
254.7,4150
254.7,10250
255.1,11950
255.8,9150
256.2,3550
256.2,4550
256.2,5450
256.5,1350
257.1,50
257.1,4850
257.1,5550
257.2,6550
257.5,750
257.9,4350
258.7,2950
259.2,2450
259.4,4950
260.3,3450
260.7,11750
260.9,8050
261.1,9650
261.1,10950
261.1,12150
261.2,1250
261.3,10550
261.5,11150
261.7,1650
261.8,12250
262,2350
262.2,7550
262.4,2850
262.5,1550
262.5,8150
262.6,5950
262.7,2650
263.5,6650
263.5,11050
263.6,7650
264.1,650
264.1,2550
264.2,6850
264.3,6450
264.5,4650
264.7,3050
264.7,5350
264.9,4850
265.1,8950
265.2,9950
265.4,250
265.5,7850
265.8,6950
265.9,350
265.9,2050
265.9,3950
265.9,9150
266.1,1850
266.1,12450
266.3,12350
266.6,5050
266.6,9450
266.8,4350
267.1,4150
267.3,7950
268.3,750
268.3,9050
268.5,3550
268.5,4450
268.5,5850
268.5,10850
268.6,7250
268.7,3750
269.7,7750
269.9,3650
269.9,6050
269.9,9350
270.1,3250
270.3,5750
270.5,7450
270.6,4550
270.7,10250
271,850
271,1450
271.2,8650
271.2,10950
271.5,50
271.5,5350
271.5,8750
271.6,7050
271.8,8350
272,5150
272.1,2450
272.3,5450
272.4,11050
273.8,4650
273.8,4750
274,10750
274.3,4850
274.3,10350
274.4,6150
274.5,8450
274.8,10450
274.9,11550
275,6250
275,7850
275.1,2350
275.1,4350
275.2,650
275.2,3450
275.2,8950
275.3,3950
275.4,12050
275.5,1150
275.7,2050
