t,spikes
794,1
795,3
796,5
797,7
798,7
799,7
800,7
801,3
802,3
803,3
804,3
805,7
806,6
807,7
808,7
809,5
810,6
811,11
812,7
813,12
814,4
815,15
816,12
817,16
818,25
819,28
820,24
821,34
822,45
823,53
824,59
825,79
826,88
827,101
828,115
829,153
830,213
831,215
832,464
833,492
834,320
835,375
836,794
837,582
838,572
839,639
840,245
841,165
842,120
843,22
844,43
845,20
846,11
847,13
848,6
849,8
850,20
851,14
852,13
853,10
854,12
855,16
856,9
857,11
858,11
859,10
860,12
861,15
862,16
863,25
864,26
865,15
866,13
867,21
868,21
869,19
870,20
871,21
872,33
873,48
874,63
875,121
876,126
877,147
878,146
879,230
880,420
881,736
882,1328
883,1623
884,635
885,545
886,301
887,103
888,57
889,36
890,9
891,19
892,20
893,12
894,8
895,4
896,3
897,7
898,3
899,8
900,10
901,2
902,10
903,2
904,8
905,8
906,15
907,3
908,12
909,13
910,6
911,8
912,17
913,15
914,17
915,29
916,17
917,28
918,22
919,47
920,36
921,68
922,83
923,155
924,359
925,576
926,611
927,534
928,1251
929,588
930,469
931,713
932,306
933,223
934,209
935,73
936,30
937,20
938,11
939,9
940,2
941,4
942,3
943,3
944,9
945,7
946,3
947,4
948,5
949,5
950,2
951,6
952,1
953,10
954,9
955,7
956,7
957,6
958,7
959,11
960,13
961,14
962,16
963,14
964,21
965,15
966,30
967,27
968,20
969,26
970,22
971,33
972,19
973,57
974,67
975,41
976,52
977,63
978,57
979,77
980,163
981,340
982,462
983,525
984,578
985,568
986,469
987,673
988,419
989,643
990,456
991,234
992,328
993,209
994,98
995,73
996,55
997,70
998,38
999,23
1000,0
